The source being used is https://www3.erie.gov/recycling/materials-recycling-sites,,,,,
Category,Company,Contact,Service,Coordinate,
"Batteries - Rechargable, Electronics",Hewlett Packard,"Refer to Website
(800) 752-0900
http://www.hp.com/us-en/hp-information/sustainable-impact/planet-product-recycl…",Donate/trade-in/drop-off. Refer to Website,"N/A, website with mutliple locations",
Pallets,Superior Pallets,"3981 Walden Ave, Lancaster, NY 14086
14219
716-822-4647
http://www.superior-pallets.com",Drop -off,"42.9176429, -78.6441889",
"Antifreeze, Batteries - Rechargable, Gas, Household Hazardous Waste, Mercury devices",Household Hazardous Waste Drop-off events,"Single-day events, Check Websites. 
311 or 716-851-4890 for city call and resolution center or (716) 858-6800 for Erie County.
http://www.city-buffalo.com
https://www.erie.gov/waste",Drop off,N/A,
Propane tanks,Irish Propane,"70 Katherine Street, Buffalo, NY
14204
(716)852-3335
http://www.irishcompanies.com/",drop off,"42.8605079, -78.8603729",
Pharmaceuticals,Medaille College (Lobby of Public Saftey Building),"18 Agassiz Circle Buffalo NY
14214
716-880-2237",Drop off,"42.9288682, -78.8566757",
Motor Oil,Napa Auto Parts,"Various Locations
Store specifc
http://www.napaonline.com",Drop off,N/A,
Pharmaceuticals,North Campus (Lobby-Pub Saftey Bldg),"6025 Main Street Williamsville NY
14221
716-858-2903",Drop off,"42.9651182, -78.7288151",
Motor Oil,Pep Boys,"Various Locations
Store specifc
http://www.pepboys.com",Drop off,N/A,
"Clothing-Textiles, Toys",Planet Aid,"Various locations
http://www.planetaid.org",Drop off,N/A,
Pharmaceuticals,Rath Building,"95 Franklin St, Buffalo NY , Lobby
14202
(716) 858-8000
https://erie.gov",Drop off,"42.8839385, -78.8766695",
Pharmaceuticals,South Campus (Lobby-Student Loans),"4041 Southwestern Boulevard Orchard Park NY
14127
716-858-2903",Drop off,"42.7717521, -78.798523",
Pharmaceuticals,Springville Town Hall,"65 Franklin Street (Sheriff's Substation) Springville NY
14141
716-592-4936",Drop off,"42.5101171, -78.6652499",
Mercury devices,Thermostat Recycling Corporation,"Various locations (See Website for Locations)
1-888-266-0550
http://www.thermostat-recycle.org",Drop off,N/A,
Antifreeze,Valu Auto Care,"3099 Delaware Ave., Kenmore, NY 
14217
(716) 873-1383 
http://www.valuautocare.com",Drop off,"42.9686813, -78.8704649",
Plastics,"Various Retail Store Locations (Tops, Wegmans, Target etc)","Store specific
N/A",Drop off,N/A,
"Appliances, Automobiles, Bicycles, Clothing-Textiles, Electronics, Furniture, Toys",Salvation Army,"Various locations
https://satruck.org/",Drop off/Collection/Pick-up,N/A,
"Appliances, Cardboard-OCC, Electronics, Metal, Paper, Plastics",MRC Recycling Inc.,"555 Cascade Dr. Springville, NY
14141
716-592-0953
http://www.mrcny.com/recycling.html",Drop off/Curbside Customer,"42.5188415, -78.6771888",
"Appliances, Batteries - Rechargable, Metal",R & R Salvage,"1329 William St., Buffalo NY
14206
(716) 856-3608
http://www.buffalometalrecycling.com",Drop Off/Pick up large quantity,"42.8844102, -78.8216104",
"Paper, Shredding Services",Shred Nations,"266 Elmwood Avenue, Buffalo NY
14222
(716) 508-3808
https://www.shrednations.com/",Drop off/Pick-up,"42.9041884, -78.8778806",
Shredding Services,Shred-It,"400 Riverwalk Pkwy, Tonawanda, NY 14150
14221
(716) 626-1209
http://www.shredit.com",Drop off/Public Shredding events/pickup,"43.0016755, -78.9132843",
"Batteries - Rechargable, Motor Oil",Advanced Auto,"Multiple Locations
Store specifc
http://www.advanceautoparts.com",Drop-off,N/A,
Antifreeze,Amherst-Hamburg Radiator,"5333 Scranton Rd., Hamburg NY
14075
(716) 649-8000
http://amherstradiator.com/",Drop-off,"42.7418528, -78.8298532",
Coathangers,Arthur's Executive Cleaners,"9450 Main Street, Clarence, NY
14031
(716) 759-1916
http://www.arthursexecutivecleaners.com",Drop-off,".42.9722813, -78.6380696 ",
Automobiles,Auto Recyclers of William Street,"1970 Williams Street Buffalo, NY
14206
716-896-1616
http://autorecyclersofwilliamst.com/",Drop-off,"42.8848535, -78.7968344",end of CC's work <3
"Batteries - Rechargable, Motor Oil",Autozone,"Multiple Locations
Store specifc
https://www.autozone.com/diy/trustworthy-advice/what-does-autozone-recycle?intc…",Drop-off,,
Building Materials,Buffalo ReUse,"296 E. Ferry St., Buffalo, NY
14208
(716) 882-2800
http://www.buffaloreuseinc.com/",Drop-off,,
Electronics,"Burgio's TV SVC, Inc.","2303 Main Street, Buffalo, NY
14214
(716) 832-3377
http://www.burgiostv.com/",Drop-off,,
